Year,S.No,STATE,DISTRICT,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,EGWE
2024-25,81,BIHAR,SIWAN,54569.99,42008.66,0,96578.65,11107.79242,0,,11107.79242,223.1899128,0,,223.1899128,13139.33886,27882.14367,,41021.48253,52352.46486
2024-25,82,BIHAR,SUPAUL,52902.06,48545.53,0,101447.59,7041.398522,923.10106,,7964.499582,62.526,10.2,,72.726,4263.79468,21210.99652,,25474.7912,33512.01678
2024-25,83,BIHAR,VAISHALI,25121.68,47774.85,0,72896.53,4428.965649,7526.928895,,11955.89454,1063.4418,1245.114,,2308.5558,6985.086768,25147.8886,,32132.97537,46397.42571
2024-25,84,BIHAR,WEST CHAMPARAN,100290.53,68572.17,0,168862.7,10880.61109,3807.840965,,14688.45206,4349.28,134.64,,4483.92,12078.55972,22012.60448,,34091.1642,53263.53626
2024-25,85,CHANDIGARH,CHANDIGARH,0,4693.75,0,4693.75,,2438.209213,,2438.209213,,218.178,,218.178,,550.5,,550.5,3206.887213
2024-25,86,CHHATTISGARH,BALOD,22369.42,14247.8,0,36617.22,776.38128,1514.70328,,2291.08456,10,74.7558,,84.7558,17430.27599,6783.171099,,24213.44709,26589.28745
2024-25,87,CHHATTISGARH,BALODA BAZAR,41340.28,19996.67,0,61336.95,1844.06541,2821.73251,,4665.79792,0,1219.553425,,1219.553425,11937.61784,9066.008964,,21003.62681,26888.97815
2024-25,88,CHHATTISGARH,BALRAMPUR,2702.23,46023.81,0,48726.04,60.98931,2049.580485,,2110.569795,0,19.4113,,19.4113,552.779119,11274.04711,,11826.82623,13956.80732
2024-25,89,CHHATTISGARH,BASTAR,810.06,24706.39,0,25516.45,34.00632,2298.13636,,2332.14268,0,79.9575,,79.9575,61.09602489,7367.296059,,7428.392084,9840.492264
2024-25,90,CHHATTISGARH,BEMETARA,18075.59,24728.25,0,42803.84,472.0764,2061.85872,,2533.93512,0,255.66125,,255.66125,14383.1049,22342.69877,,36725.80367,39515.40004
2024-25,91,CHHATTISGARH,BIJAPUR,38.98,47029.99,0,47068.97,0.13359,689.145915,,689.279505,0,2.489,,2.489,1.54,4537.19248,,4538.73248,5230.500985
2024-25,92,CHHATTISGARH,BILASPUR,20813.14,26161.83,0,46974.97,825.17886,5024.47247,,5849.65133,0,692.90125,,692.90125,6855.778268,15684.96863,,22540.7469,29083.29948
2024-25,93,CHHATTISGARH,DANTEWADA,61.6,25059.16,0,25120.76,0.12045,788.90881,,789.02926,0,158.4453,,158.4453,0,3870.761284,,3870.761284,4818.235844
2024-25,94,CHHATTISGARH,DHAMTARI,45598.02,16715.15,0,62313.17,697.51281,1441.969,,2139.48181,0,103.6823,,103.6823,30959.63901,12878.78901,,43838.42802,46081.59213
2024-25,95,CHHATTISGARH,DURG,20614.31,18291.24,0,38905.55,529.94277,4493.20475,,5023.14752,0,438.424725,,438.424725,10780.40106,13313.7948,,24094.19585,29555.7681
2024-25,96,CHHATTISGARH,GARIABAND,11734.69,22243.89,0,33978.58,302.7675,1458.25968,,1761.02718,0,26.46115,,26.46115,7375.466397,12212.909,,19588.37539,21375.86372
2024-25,97,CHHATTISGARH,GOURELA-PENDRA-MARWAHI,1764.14,11048.24,0,12812.38,75.1827,1103.441355,,1178.624055,0,1.9455,,1.9455,383.79,3709.48,,4093.27,5273.839555
2024-25,98,CHHATTISGARH,JANJGIR-CHAMPA,35111.3,8989.46,0,44100.76,1367.18415,1548.948675,,2916.132825,0,235.01853,,235.01853,3789.317483,4396.339698,,8185.657181,11336.80854
2024-25,99,CHHATTISGARH,JASHPUR,1387.61,32461.76,0,33849.37,40.83912,2230.29235,,2271.13147,0,39.37425,,39.37425,214.9995418,15203.741,,15418.74054,17729.24626
2024-25,100,CHHATTISGARH,KABIRDHAM,26761.92,39085.16,0,65847.08,205.88409,2427.48579,,2633.36988,0,88.34902,,88.34902,6374.0363,30034.9963,,36409.0326,39130.7515
2024-25,101,CHHATTISGARH,KANKER,5661.04,60542.32,0,66203.36,62.01642,2024.978025,,2086.994445,0,34.275,,34.275,571.25,23369.56,,23940.81,26062.07945
2024-25,102,CHHATTISGARH,KHAIRAGARH-CHHUIKHADAN_GANDAI,7136.68,10838.95,0,17975.63,142.95006,962.957235,,1105.907295,0,11.8215,,11.8215,2790.7969,7466.0337,,10256.8306,11374.5594
2024-25,103,CHHATTISGARH,KONDAGAON,1888.67,34139.9,0,36028.57,52.341,1558.093385,,1610.434385,0,22.3005,,22.3005,1399.04,13257.2008,,14656.2408,16288.97569
2024-25,104,CHHATTISGARH,KORBA,1476.31,45520.78,0,46997.09,34.76187,3675.937265,,3710.699135,0,2541.7292,,2541.7292,711.3465,9804.6574,,10516.0039,16768.43224
2024-25,105,CHHATTISGARH,KOREA,4539.72,9663.02,0,14202.74,43.46055,626.800265,,670.260815,0,392.74365,,392.74365,1090.2812,4863.2352,,5953.5164,7016.520865
2024-25,106,CHHATTISGARH,MAHASAMUND,41163.09,52942.59,0,94105.68,352.23303,2612.418515,,2964.651545,0,160.5205,,160.5205,14735.9746,39027.8491,,53763.8237,56888.99575
2024-25,107,CHHATTISGARH,MANENDRAGARH-CHIRMIRI_BHARATPUR,3149.95,44116.05,0,47266,35.69919,1077.726375,,1113.425565,0,771.054865,,771.054865,894.206,7124.3297,,8018.5357,9903.01613
2024-25,108,CHHATTISGARH,MOHLA-MANPUR_AMBAGARHCHOWKI,1810.78,13333.61,0,15144.39,29.9373,721.83787,,751.77517,0,31.5,,31.5,1638.6765,3394.8084,,5033.4849,5816.76007
2024-25,109,CHHATTISGARH,MUNGELI,14156.9,10357.79,0,24514.69,456.74859,1514.277325,,1971.025915,0,31.3487,,31.3487,3094.45,6222.602,,9317.052,11319.42662
2024-25,110,CHHATTISGARH,NARAYANPUR,582.83,24658.53,0,25241.36,7.31898,391.43111,,398.75009,0,10.65,,10.65,35.2,2176.74,,2211.94,2621.34009
2024-25,111,CHHATTISGARH,RAIGARH,3197.28,35902.99,0,39100.27,115.59915,3077.535825,,3193.134975,0,2790.523535,,2790.523535,424.9327,10717.6497,,11142.5824,17126.24091
2024-25,112,CHHATTISGARH,RAIPUR,28450.23,17815.02,0,46265.25,1048.23693,6507.67917,,7555.9161,0,2176.17933,,2176.17933,12306.2538,5732.6553,,18038.9091,27771.00453
2024-25,113,CHHATTISGARH,RAJNANDGAON,10579.07,25649.45,0,36228.52,302.82006,3011.38943,,3314.20949,0,242.280935,,242.280935,6681.5374,14167.744,,20849.2814,24405.77183
2024-25,114,CHHATTISGARH,SAKTI,21390.5,8275.76,0,29666.26,808.01802,1168.68036,,1976.69838,0,11.0069,,11.0069,5986.286555,6328.010145,,12314.2967,14302.00198
2024-25,115,CHHATTISGARH,SARANGARH-BILAIRAGH,8569.32,13980.4,0,22549.72,317.60913,1569.666075,,1887.275205,0,59.81785,,59.81785,681.546241,6336.444718,,7017.990959,8965.084014
2024-25,116,CHHATTISGARH,SUKMA,229.75,41537.44,0,41767.19,1.06872,625.211055,,626.279775,0,2.116,,2.116,0,1756.635,,1756.635,2385.030775
2024-25,117,CHHATTISGARH,SURAJPUR,3118.21,34910.18,0,38028.39,112.38204,2109.422965,,2221.805005,0,1556.1366,,1556.1366,1689.7671,19001.8948,,20691.6619,24469.60351
2024-25,118,CHHATTISGARH,SURGUJA,4761.34,34847.41,0,39608.75,203.232,2161.453715,,2364.685715,0,1193.48385,,1193.48385,1613.3236,14624.0272,,16237.3508,19795.52037
2024-25,119,DADRA AND NAGAR HAVELI,DADRA NAGAR HAVELI,4198.78,4897,0,9095.78,257.85,1034.55,,1292.4,99.7,897.93,,997.63,178.98,709.64,,888.62,3178.65
2024-25,120,DAMAN AND DIU,DAMAN,2409.83,0,0,2409.83,731.134566,,0,731.134566,507,,0,507,215.1,,0,215.1,1453.234566
2024-25,121,DAMAN AND DIU,DIU,177.48,0,0,177.48,28.45029,,0,28.45029,22.7,,0,22.7,42.2,,0,42.2,93.35029
2024-25,122,DELHI,CENTRAL,0,2310.29,0,2310.29,,1498.4748,,1498.4748,,0,,0,,248.57,,248.57,1747.0448
2024-25,123,DELHI,EAST,0,1501.49,0,1501.49,,1328.588237,,1328.588237,,0.2,,0.2,,118.99,,118.99,1447.778237
2024-25,124,DELHI,NAZUL LAND,0,514.28,0,514.28,,105.12,,105.12,,0,,0,,232.8,,232.8,337.92
2024-25,125,DELHI,NEW DELHI,0,2726.07,0,2726.07,,2670.580784,,2670.580784,,2.2,,2.2,,686.8693167,,686.8693167,3359.650101
2024-25,126,DELHI,NORTH,0,4252.06,0,4252.06,,3247.697,,3247.697,,50.308,,50.308,,491.8038,,491.8038,3789.8088
2024-25,127,DELHI,NORTH EAST,0,1632.23,0,1632.23,,1575.659315,,1575.659315,,0,,0,,154.723,,154.723,1730.382315
2024-25,128,DELHI,NORTH WEST,0,3486.13,0,3486.13,,1747.985,,1747.985,,0.56,,0.56,,511.320375,,511.320375,2259.865375
2024-25,129,DELHI,SHAHDARA,0,1485.55,0,1485.55,,1328.023492,,1328.023492,,0.5,,0.5,,338.427,,338.427,1666.950492
2024-25,130,DELHI,SOUTH,0,4074.53,0,4074.53,,3503.628988,,3503.628988,,0,,0,,709.8975,,709.8975,4213.526488
