Year,S.No,STATE,DISTRICT,RR_Tot
2024-25,401,PUNJAB,Sangrur,495.8245357
2024-25,402,PUNJAB,Tarn Taran,544.8536812
2024-25,403,RAJASTHAN,AJMER,534.3819868
2024-25,404,RAJASTHAN,ALWAR,671.0036176
2024-25,405,RAJASTHAN,BANSWARA,956.58793
2024-25,406,RAJASTHAN,BARAN,935.3609135
2024-25,407,RAJASTHAN,BARMER,329.1790072
2024-25,408,RAJASTHAN,BHARATPUR,662.0964769
2024-25,409,RAJASTHAN,BHILWARA,657.644594
2024-25,410,RAJASTHAN,BIKANER,338.225014
2024-25,411,RAJASTHAN,BUNDI,723.4116751
2024-25,412,RAJASTHAN,CHITTAURGARH,807.8072278
2024-25,413,RAJASTHAN,CHURU,213.2884655
2024-25,414,RAJASTHAN,DAUSA,676.2126367
2024-25,415,RAJASTHAN,DHAULPUR,720.5930711
2024-25,416,RAJASTHAN,DUNGARPUR,779.3050767
2024-25,417,RAJASTHAN,GANGANAGAR,251.1545538
2024-25,418,RAJASTHAN,HANUMANGARH,322.1659384
2024-25,419,RAJASTHAN,JAIPUR,610.1377968
2024-25,420,RAJASTHAN,JAISALMER,212.5682147
2024-25,421,RAJASTHAN,JALOR,477.7566407
2024-25,422,RAJASTHAN,JHALAWAR,979.0747075
2024-25,423,RAJASTHAN,JHUNJHUNU,506.8930627
2024-25,424,RAJASTHAN,JODHPUR,329.5923803
2024-25,425,RAJASTHAN,KARAULI,715.617358
2024-25,426,RAJASTHAN,KOTA,827.3490255
2024-25,427,RAJASTHAN,NAGAUR,443.1728887
2024-25,428,RAJASTHAN,PALI,550.4375314
2024-25,429,RAJASTHAN,PRATAPGARH,1039.382584
2024-25,430,RAJASTHAN,RAJSAMAND,643.9142753
2024-25,431,RAJASTHAN,SAWAI MADHOPUR,777.2227195
2024-25,432,RAJASTHAN,SIKAR,520.5243548
2024-25,433,RAJASTHAN,SIROHI,669.2859949
2024-25,434,RAJASTHAN,TONK,632.6509034
2024-25,435,RAJASTHAN,UDAIPUR,724.6912551
2024-25,436,SIKKIM,Gangtok,2756.4
2024-25,437,SIKKIM,Gyalsingh,2041.7
2024-25,438,SIKKIM,Mangan,2738.8
2024-25,439,SIKKIM,Namchi,2203.5
2024-25,440,SIKKIM,Pakyong,2756.4
2024-25,441,SIKKIM,Soreng,2041.7
2024-25,442,TAMILNADU,ARIYALUR,987.7355669
2024-25,443,TAMILNADU,CHENGALPATTU,1274.167655
2024-25,444,TAMILNADU,CHENNAI,1453.243761
2024-25,445,TAMILNADU,COIMBATORE,971.5734576
2024-25,446,TAMILNADU,CUDDALORE,1273.373289
2024-25,447,TAMILNADU,DHARMAPURI,868.7838763
2024-25,448,TAMILNADU,DINDIGUL,853.8109958
2024-25,449,TAMILNADU,ERODE,713.3333069
2024-25,450,TAMILNADU,KALLAKURICHCHI,1048.499072
2024-25,451,TAMILNADU,KANCHEEPURAM,1245.061175
2024-25,452,TAMILNADU,KANNIYAKUMARI,1292.669683
2024-25,453,TAMILNADU,KARUR,644.6027242
2024-25,454,TAMILNADU,KRISHNAGIRI,792.9798626
